Tool,FMR_target,Threshold,FMR,FNMR
DeepFaceFN,0.001,0.8269221475194153,0.001,0.6424000000000001
DeepFaceFN,0.01,0.7587095763672524,0.01,0.45199999999999996
DeepFaceFN,0.05,0.6791734045174099,0.05,0.2976
FaceNetPT,0.001,0.9731523394584656,0.001,0.9286
FaceNetPT,0.01,0.955341637134552,0.0098,0.7969999999999999
FaceNetPT,0.05,0.9329827427864075,0.0502,0.6254
OpenCV,0.001,-10059.4404296875,0.001,0.757
OpenCV,0.01,-12179.125,0.01,0.5880000000000001
OpenCV,0.05,-14777.1328125,0.0502,0.38839999999999997
